size in Bytes
ID;Name;Size;CRC32;MD5;Serial;#Trusted;Status
"0001";"GoldenEye 007 (Europe)";"12582912";"9EC14AEB";"CFF69B70A8AD674A0EFE5558765855C9";"NGEP NUS-NGEP-EUR, NUS-NGEP-AUS";5;"Verified"
"0002";"GoldenEye 007 (Japan)";"12582912";"A6BE19DD";"1880DA358F875C0740D4A6731E110109";"NGEJ NUS-NGEJ-JPN";1;"Trusted"
"0003";"GoldenEye 007 (USA)";"12582912";"B6330846";"70C525880240C1E838B8B1BE35666C3B";"NGEE NUS-NGEE-USA-1";1;"Trusted"
"0004";"007 - The World Is Not Enough (Europe) (En,Fr,De)";"33554432";"002C3B2A";"34AB1DEA3111A233A8B5C5679DE22E83";"NO7P NUS-N07P-FRA, NUS-NO7P-UKV";2;"Verified"
"0005";"007 - The World Is Not Enough (USA)";"33554432";"26360987";"9D58996A8AA91263B5CD45C385F45FE4";"NO7E NUS-N07E-USA";1;"Trusted"
"0006";"1080 TenEighty Snowboarding (Europe) (En,Ja,Fr,De)";"16777216";"75A21679";"632C98CF281CDA776E66685B278A4FA6";"NTEP NUS-NTEP-EUR";5;"Verified"
"0007";"1080 TenEighty Snowboarding (Japan, USA) (En,Ja)";"16777216";"08FE81C7";"FA27089C425DBAB99F19245C5C997613";"NTEA NUS-NTEJ-JPN";4;"Verified"
"0008";"40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07)";"33554432";"7E718143";"0A5ACFEA0C7CF68AE25202040D5AD1EB";"N4WX ";1;"Trusted"
"0009";"64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)";"12582912";"67A789E5";"EA6A92DE5A221A00814F7448BF6F1B31";"NTWJ NUS-NTWJ-JPN";1;"Trusted"
"0010";"64 Hanafuda - Tenshi no Yakusoku (Japan)";"8388608";"60A680E7";"66335F4DC6AB27034398BC26F263B897";"NHFJ NUS-NHFJ-JPN";1;"Trusted"
"0011";"64 Oozumou (Japan)";"16777216";"742E31FB";"2CF9EDB51ADA9DE2AE7AD9FD5ACC5580";"NOSJ NUS-NOSJ-JPN";1;"Trusted"
"0012";"64 Oozumou 2 (Japan)";"16777216";"C1BC6FD8";"F7C796371E77E0A6FBD02EB866341952";"NO2J NUS-NO2J-JPN";1;"Trusted"
"0013";"64 Trump Collection - Alice no Wakuwaku Trump World (Japan)";"12582912";"DCA7F4EB";"6B947F654775CF5DACD1E5D53D577DA7";"NTCJ NUS-NTCJ-JPN";1;"Trusted"
"0014";"Action Replay Pro 64 (Europe) (v3.0) (Unl)";"262144";"C992DFB4";"35BA407EA9E4EF7C0ACE8B4F58BEEC41";" ";0;"Not verified"
"0015";"Action Replay Pro 64 (Europe) (v3.3) (Unl)";"262144";"9FBABFDA";"67AFA5DF80A5CFC91FCE1DC918EA0A4F";" ";0;"Not verified"
"0016";"GameBooster 64 (Europe) (v1.1) (Unl)";"262144";"35B99BD9";"1A56FE2B2FE339C7DD4FF8D37EC8654B";" ";0;"Not verified"
"0017";"GameBooster 64 (USA) (v1.1) (Unl)";"262144";"E0B8EDAE";"60D0264B38E22EF0D6B9549E4C81C29F";" ";0;"Not verified"
